ObjectID,GlobalID,CreationDate,Creator,EditDate,Editor,Date and time of your visit,Does this house shows clear signs of housing decay conditions?,Roof,Exterior Walls,Front yard,Foundation,Roof Notes,Number of structures,Other - Number of structures,Occupancy status,Other - Occupancy status,Property type,Other - Property type,Number of stories (main structure),Current Use,Other - Current Use,Type of residential structure,Other - Type of residential structure,Does the property appear to be historic or have historic use?,Other - Does the property appear to be historic or have historic use?,Does the property shows “rascuache” elements?,Other - Does the property shows “rascuache” elements?,Foundation type,Other - Foundation type,Is there a basement?,Foundation Observations,Other - Foundation Observations,Assessment Score - Foundation,First floor height in feet,Roof type,Other roof system (please specify) - Roof type,Roof finishes,Roof material,Other - Roof material,Roof composition,Roof color,Assessment Score - Roof,Number of structures,Other - Number of structures,Describe the signs that make you suggest that this is an abandoned property,Does the property appear to be historic or have historic use?,Other - Does the property appear to be historic or have historic use?,Are there additional roof elements attached to the main roof structure?,Type of pitch roof,Other - Roof color,Gutters and downspouts,Other - Gutters and downspouts,Gutter conditions,Gutter Location,Elbows,Downspouts Location,Splash block or hard surface nearby downspouts,Adequate slope/outward slope or drainage nearby downspouts,Gutters and Downspouts - Observations,Other - Gutters and Downspouts - Observations,Gutters and Downspouts - Assessment score,Other - Are there additional roof elements attached to the main roof structure?,Other - Type of pitch roof,Wall Structure/Veneer,Other - Wall Structure/Veneer,"If paint layer added, specify the color","Other - If paint layer added, specify the color",Insulation,Walls overall Observations,Other - Walls overall Observations,Assessment score - Walls' structural integrity,Assessment score - Coating condition,Assessment score - Walls overall,Windows function,Other - Windows function,Windows appearance,Other - Windows appearance,Are there any missing windows?,Other - Are there any missing windows?,Windows type,Other - Windows type,Windows material,Window assembly,Other - Window assembly,"Window/façade ratio (North, East, South, West)",Additional Elements,Other - Additional Elements,Are the windows recycled?,Other - Are the windows recycled?,Windows Observations,Other - Windows Observations,Window condition - Assembly,Window condition - Frames,Window condition - Coating,Window assessment score - overall, Type of doors,Other -  Type of doors,Door materials,Other - Door materials,Other door elements,Other - Other door elements,Are there any recycled doors?,Other - Are there any recycled doors?,Doors Observations,Other - Doors Observations,Door condition - Structural Integrity,Door condition - coating,Door assessment score - overall,Type of system present,Other - Type of system present,What is the ratio of AC units to Windows?,Are there any signs of recent installation of mechanical systems?,Other - Are there any signs of recent installation of mechanical systems?,Mechanical Systems Observations,Other - Mechanical Systems Observations,Mechanical Systems Assessment Score - Overall,Fence type,Other - Fence type,Fence Observations,Fence assessment score,Hardscape type,Other - Hardscape type,Does hardscape allows for correct drainage?,Hardcape assessment score,Landscape type,Landscape - Number of trees,Landscape Observations,Other - Landscape Observations,Landscape assessment score,Rank the home elements that require attention from the highest to the lowest priority,Rate the overall home condition,Roof observations,Windows type ,Other - Windows type ,Fence Observations,Multiple separated structures ,Other - Roof observations,Respondent's Name,Other - Respondent's Name,Address ID Number,Are you able to survey this address?,Reason,x,y
83,7e00efd4-06c7-4599-9548-70ed921d07ba,2/9/2024 10:53:51 PM,,2/13/2024 5:17:00 PM,esteban.lopezochoa_utsa,2/9/2024 10:42:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Slab on grade,,No,No_issues,,Good,0,Pitched,,,Asphalt_shingles,,"Asphalt shingles, 100%",Dark (Grey/ Red/Blue/Brown),Good,Single structure,,,Not historic (if built after 19,,Porch,Crossed-gabled,,No,,,,,,,,Inadequate_roof_drainage:_E.g._,,Severe,,,"Brick,Wood_siding_(board_and_batten_/",,White/Whitish,,,No_issues,,Good,Good,Good,Operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"25%,25,0%,25%",Iron_Bars,,,,No_issues,,Good,Good,Good,Good,Glazed doors,,other,Wood and glass,other,None,,,No_issues,,Good,Good,Good,HVAC,,,Cannot tell,,No_issues,,Good,Steel/Metal,,,Good,Stone/Flagstone,,No,Good,"Grass,Perennial_tree,Established_landscape/shrubs",3,"Indoor_furniture_or_appliances_,Fountain,Art_work",,Good,"Gutters_&_Downspouts,Roof,Hardscape,Landscape,Trees,Mechanical_Systems,Fence,Doors,Windows,Foundations,Exterior_walls",8,No_issues,Single-hung,,,,,Salomon Mendoza (student),,512321,Yes,,-98.5278709598463,29.4183580155565
84,6e657678-a689-4f9b-83fd-a95195062aaf,2/9/2024 10:54:04 PM,,2/9/2024 10:54:04 PM,,2/9/2024 10:41:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,No_issues,,Good,0.5,Pitched,,,Asphalt_shingles,,100% asphalt ,Dark (Grey/ Red/Blue/Brown),Good,Single structure,,,Not historic (if built after 19,,Porch,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Wood_siding_(board_and_batten_/,,,,,No_issues,,Good,Good,Good,Operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"40%,25%,10%,25%",,,,,No_issues,,Good,Good,Good,Good,Solid exterior doors,,Aluminum,,Screens,,,,No_issues,,Good,Good,Good,Window_AC_units,,2,No,,No_issues,,Fair,Chain-link,,,Fair,Stone/Flagstone,,Yes,Good,Grass,3,Overgrown_grass/weeds_(severe),,Fair,"Landscape,Gutters_&_Downspouts,Mechanical_Systems,Windows,Foundations,Fence,Doors,Roof,Hardscape,Trees,Exterior_walls",5,No_issues,Single-hung,,,,,David Magallanez (student),,512322,Yes,,-98.5277533634731,29.418528653479
85,03d6eb4d-bbe8-4ba8-b1b2-3e216b580d94,2/9/2024 10:58:11 PM,,2/9/2024 10:58:11 PM,,2/9/2024 10:47:00 PM,,,,,,,,,Vacant (not in the market),,Single family home,,1,Residential,,Detached (standalone),,,,No,,Slab on grade,,No,Cracks_on_walls_and_or_porch_(s,,Fair,1,Pitched,,,Asphalt_shingles,,100,Dark (Grey/ Red/Blue/Brown),Good,Single structure,,,Not historic (if built after 19,,,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,"Brick,Wood_siding_(board_and_batten_/",,White/Whitish,,,No_issues,,Good,Good,Good,Non-operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"30, 20,0",,,,,No_issues,,Good,Good,Good,Good,Glazed doors,,Aluminum,,other,none,,,No_issues,,Good,Good,Good,HVAC,,,No,,No_issues,,Good,Chain-link,,,Good,other,Cemento ,Yes,Good,"Established_landscape/shrubs,Deciduous_tree",6,Dead/rotten_trees_(severe),,Good,"Gutters_&_Downspouts,Foundations,Landscape,Fence,Mechanical_Systems,Exterior_walls,Hardscape,Trees,Doors,Roof,Windows",8,No_issues,Single-hung,,,,,Evangelina Villanueva,,512324,Yes,,-98.5273795434178,29.4184457307825
86,ea348fc7-5384-4420-a0a9-5416ab395f9e,2/9/2024 11:02:01 PM,,2/9/2024 11:02:01 PM,,2/9/2024 10:44:00 PM,,,,,,,,,other,Pertinence a la pro pie dad de la 915 S Rosillo,other,Terreno que sirve come Yarda de la propiedad 915,1,Residential,,other,No hay estructura,,,No,,other,No tiene terreno vacio ,No,No_issues,,Good,0,other,N/A,,other,N/A,0,other,Good,other,Cero,,NA / Cannot tell,,,,N/A,other,N/A,,,,,,,No_issues,,Good,,,other,N/A,,,,No_issues,,Good,Good,Good,other,N/A,other,N/A,other,N/A,,,Steel,other,N/A,,other,N/A,,,other,N\A,Good,Good,Good,Good,other,N/A,other,N/A,other,N/A,,,other,N/A,Good,Good,Good,other,N/A,N/A,other,N/A,other,N/A,Good,Steel/Metal,,,Fair,other,N/A,Cannot tell,Severe,Grass,1,No_issues,,Fair,"Fence,Landscape,Foundations,Windows,Mechanical_Systems,Gutters_&_Downspouts,Doors,Exterior_walls,Roof,Trees,Hardscape",9,No_issues,other,N/A,Broken_or_missing_parts_(severe,,,Ana Polanco,,512314,Yes,,-98.52707478709,29.418952914819
87,fec73218-3402-4444-8f2f-35f22f78098b,2/9/2024 11:06:48 PM,samuel.rueda_utsa,2/9/2024 11:06:48 PM,samuel.rueda_utsa,2/9/2024 10:53:00 PM,,,,,,,,,Vacant (not in the market),,Commercial_,,1,Commercial,,,,,,No,,Slab on grade,,No,No_issues,,Good,2,Flat,,,Metal,,100% metal ,other,Good,Single structure,,,"Yes, historic property without",,,,Metal ,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,"other,Wood_siding_(board_and_batten_/",Concrete ,Light Grey/Silver,,,No_issues,,Good,Good,Good,Operable,,Historic/Old,,No,,,,Wood,Single pane,,"N: 0, E: 10%, S: 10%, W: 20%",,,,,Isolated_damage_that_can_be_rep,,Fair,Fair,Fair,Fair,Solid exterior doors,,Vinyl,,Iron gates,,,,No_issues,,Good,Good,Good,Window_AC_units,,1,Cannot tell,,No_issues,,Good,None,,,,Stone/Flagstone,,No,Severe,Grass,0,Overgrown_grass/weeds_(severe),,Severe,"Hardscape,Landscape,Trees,Windows,Fence,Gutters_&_Downspouts,Mechanical_Systems,Foundations,Exterior_walls,Roof,Doors",6,No_issues,Sliding_window,,,,,Sam Rueda (student),,512311,Yes,,-98.52795997566,29.4189879994
88,5daa80f4-56b9-4241-9647-506d9068f1d9,2/9/2024 11:09:47 PM,,2/9/2024 11:09:47 PM,,2/9/2024 10:58:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,Yes,,Slab on grade,,No,No_issues,,Fair,0,Pitched,,,Asphalt_shingles,,100,Dark (Grey/ Red/Blue/Brown),Good,Multiple separated structures,,,Not historic (if built after 19,,Porch,Gabble_Roof,,No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,"Brick,Wood_siding_(board_and_batten_/",,other,light pink,,No_issues,,Good,Good,Good,Operable,,Modern/Recent,,No,,,,"Wood,Aluminium",Single pane,,"25,30,30",Screens,,,,No_issues,,Good,Good,Good,Good,Glazed doors,,Aluminum,,Iron gates,,,,No_issues,,Good,Good,Good,Window_AC_units,,1-7,Yes,,No_issues,,Good,Wrought Iron,,,Fair,None,,,,Grass,3,"Overgrown_grass/weeds_(severe),Dead/rotten_trees_(severe),Indoor_furniture_or_appliances_,Repurposed_seating",,Fair,"Foundations,Fence,Gutters_&_Downspouts,Hardscape,Windows,Trees,Landscape,Mechanical_Systems,Exterior_walls,Roof,Doors",7,No_issues,Single-hung,,Missing_or_chipped_paint_(fair),2,,Evangelina Villanueva,,512323,Yes,,-98.527584202404,29.4185066943327
89,06e2482e-6724-42e5-ac1c-4e87a68a7e49,2/9/2024 11:11:55 PM,,2/9/2024 11:11:55 PM,,2/9/2024 10:53:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,Poor_drainage_around_the_house_,,Good,3,Pitched,,,Asphalt_shingles,,100% asphalt shingles ,Dark (Grey/ Red/Blue/Brown),Good,Single structure,,,Not historic (if built after 19,,Porch,Cross-hipped,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Inadequate_roof_drainage:_E.g._,other,Localized_roof_drainage_issues_",,Severe,,,Vinyl_Siding_,,White/Whitish,,,No_issues,,Good,Good,Good,Operable,,Modern/Recent,,No,,,,Vinyl,Single pane,,"20%, 40%, 10%, 20%",other,N/A,,,No_issues,,Good,Good,Good,Good,Solid exterior doors,,Wood,,other,N/A,,,No_issues,,Good,Good,Good,Window_AC_units,,3:6,No,,No_issues,,Fair,Steel/Metal,,,Fair,Stone/Flagstone,,No,Fair,Grass,1,"Overgrown_grass/weeds_(severe),Indoor_furniture_or_appliances_,Fountain",,Fair,"Gutters_&_Downspouts,Foundations,Hardscape,Landscape,Mechanical_Systems,Fence,Trees,Windows,Roof,Exterior_walls,Doors",4,No_issues,Single-hung,,Missing_or_chipped_paint_(fair),,,Tamauj Thomas (student),,643230,Yes,,-98.519990965035,29.418495017764
90,1c5492f1-4e20-4edf-874e-b58feaeee403,2/9/2024 11:15:29 PM,,2/13/2024 5:10:49 PM,esteban.lopezochoa_utsa,2/9/2024 10:54:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,Cracks_on_walls_and_or_porch_(s,,Severe,0,Pitched,,,Asphalt_shingles,,"Asphalt shingles, 100%",Dark (Grey/ Red/Blue/Brown),Good,Multiple separated structures,,,Not historic (if built after 19,,Porch,Crossed-gabled,,Yes,,Fair,Only_one_side_has_gutters,No_elbows,Only_one_side_has_downspouts,Yes,No,Ground_slope_goes_towards_the_h,,Severe,,,Wood_siding_(board_and_batten_/,,White/Whitish,,,"Localized_loose_or_rotting_mate,Holes_cracks_breaks_(severe)",,Fair,Fair,Fair,Operable,,Modern/Recent,,No,,,,Aluminium,Double pane,,"25%,25%,25%,25%",Iron_Bars,,,,No_issues,,Good,Good,Good,Good,Glazed doors,,Wood,,Shutters,,,,No_issues,,Good,Good,Good,Window_AC_units,,2-4,No,,No_issues,,Fair,Chain-link,,,Good,other,Concrete,No,Fair,"Grass,Deciduous_tree,Established_landscape/shrubs",5,No_issues,,Good,"Foundations,Exterior_walls,Roof,Gutters_&_Downspouts,Landscape,Mechanical_Systems,Trees,Hardscape,Fence,Windows,Doors",8,No_issues,"Single-hung,Bow",,,2,,Salomon Mendoza (student),,512320,Yes,,-98.5280179784283,29.4183300199995
91,fc8897e3-e44d-4ebf-a8d6-f63a23102dc3,2/9/2024 11:21:30 PM,,2/9/2024 11:21:30 PM,,2/9/2024 11:08:00 PM,,,,,,,,,Occupied,,Mixed use (residential and othe,,1,Mixed-use,,,,,,No,,Pier and beam,,No,Cracks_on_walls_and_or_porch_(s,,Severe,2.5,Flat,,,other,TPO material,"80% TPO, 10% shingle, 10% aluminum",other,Fair,Single structure,,,"Yes, historic property without",,Canopies,,"Black, aluminum, ",No,,,,,,,,No_gutters_downspouts_and_hard_,,Severe,,,Stucco,,other,Beige,,Localized_loose_or_rotting_mate,,Fair,Fair,Fair,Operable,,Historic/Old,,No,,,,Aluminium,Single pane,,"N: 10%, E: 0%, S: 30%, W: 0%",,,,,No_issues,,Fair,Fair,Fair,Fair,Solid exterior doors,,Vinyl,,other,Window,,,No_issues,,Fair,Fair,Fair,HVAC,,,No,,No_issues,,Good,None,,,,other,Concrete,No,Fair,"None,Grass",0,No_issues,,Fair,"Gutters_&_Downspouts,Fence,Hardscape,Landscape,Trees,Windows,Mechanical_Systems,Doors,Exterior_walls,Foundations,Roof",7,No_issues,Single-hung,,,,,Sam Rueda (student),,512312,Yes,,-98.527725030914,29.418876017173
92,7c8856ec-4aa7-4721-bf35-814e9d653cb0,2/9/2024 11:28:20 PM,,2/9/2024 11:28:20 PM,,2/9/2024 11:12:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,Yes,,Pier and beam,,No,Wood_siding_is_not_leveled_(sev,,Fair,2,Pitched,,,Wood_shingles,,100% wooden shingles ,White/whitish,Good,Single structure,,,"Yes, historic property without",,Porch,Cross-hipped,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Inadequate_roof_drainage:_E.g._,Localized_roof_drainage_issues_",,Severe,,,Wood_siding_(board_and_batten_/,,White/Whitish,,,No_issues,,Good,Good,Good,Cannot tell,,Cannot tell,,Cannot tell,,,,Wood,Single pane,,N/A,"Shutters,Trims,other",Windows only allows for ventilation ,,,other,Can not determine ,Fair,Fair,Fair,Fair,Solid exterior doors,,Wood,,Iron gates,,,,No_issues,,Fair,Fair,Fair,Window_AC_units,,3:7,No,,No_issues,,Disagree,Chain-link,,,Fair,Brick,,No,Fair,Grass,0,Indoor_furniture_or_appliances_,,Severe,"Gutters_&_Downspouts,Foundations,Landscape,Hardscape,Fence,Exterior_walls,Windows,Trees,Roof,Mechanical_Systems,Doors",4,No_issues,Single-hung,,"Broken_or_missing_parts_(severe,Leaned_or_slanted_(severe)",,,Tamauj Thomas (student),,643235,Yes,,-98.519430970084,29.418413000842
93,a99f659b-f115-4e71-90a3-8b29a60bd5c2,2/9/2024 11:37:34 PM,,2/9/2024 11:37:34 PM,,2/9/2024 11:29:00 PM,,,,,,,,,Vacant (not in the market),,Single family home,,1,other,Vacant lot,,,,,No,,other,N/A,No,No_issues,,Good,0,other,N/A,,other,N/A,N/A,other,Good,other,N/A,,NA / Cannot tell,,,,N/A,No,,,,,,,,"other,No_issues",N/A,Good,,,other,N/A,,,,No_issues,,Good,Good,Good,other,N/A,other,N/A,other,N/A,,,Steel,other,N/A,N/A,other,N/A,,,other,N/A,Good,Good,Good,Good,other,N/A,other,N/A,other,N/A,,,other,N/A,Good,Good,Good,None,,,other,N/A,other,N/A,Good,Chain-link,,,Severe,None,,,,Grass,0,"Overgrown_grass/weeds_(severe),Dead/rotten_trees_(severe)",,Severe,"Fence,Landscape,Hardscape,Gutters_&_Downspouts,Mechanical_Systems,Trees,Roof,Foundations,Exterior_walls,Doors,Windows",5,No_issues,other,N/A,Broken_or_missing_parts_(severe,,,Sam Rueda (student),,512258,Yes,,-98.524808162113,29.418343187785
94,a54b3655-5a2f-447d-9deb-04c288bdbc3f,2/9/2024 11:42:27 PM,,2/9/2024 11:42:27 PM,,2/9/2024 10:06:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,"Floors_are_sloping_(severe),Doors_and_windows_are_hard_to_o,Wood_siding_is_not_leveled_(sev,Poor_drainage_around_the_house_",,Severe,3,Pitched,,,Asphalt_shingles,,Assumed 100% asphalt shingles ,Dark (Grey/ Red/Blue/Brown),Good,Multiple separated structures,,,"Yes, historic with current hist",,Porch,Hip_Roof,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Inadequate_roof_drainage:_E.g._",,Severe,,,"Wood_siding_(board_and_batten_/,Vinyl_Siding_",,Dark Grey/Red/Blue,,,"Localized_loose_or_rotting_mate,Poorly_attached_exterior_siding,Holes_large_cracks_gaps_and_pen",,Severe,Fair,Severe,Non-operable,,Historic/Old,,other,Several boarded up,,,Wood,Single pane,,"10% north, 20% east, 20% west, south unknown",Trims,,,,Empty_casements_that_are_expose,,Severe,Fair,Severe,Severe,Solid exterior doors,,Wood,,Iron gates,,,,"No_issues,other",Cannot really tell,Fair,Fair,Fair,Window_AC_units,,1 to 5,No,,No_issues,,Fair,Chain-link,,,Severe,Stone/Flagstone,,Cannot tell,Fair,None,2,Dead/rotten_trees_(severe),,Severe,"Exterior_walls,Windows,Doors,Foundations,Fence,Trees,Gutters_&_Downspouts,Hardscape,Roof,Mechanical_Systems,Landscape",3,No_issues,Single-hung,,"Leaned_or_slanted_(severe),Broken_or_missing_parts_(severe",2,,other,Sarah Serpas,643208,Yes,,-98.52085103212,29.418804016625
95,b5c56c49-e64c-4446-aff0-324cf0b3d6ed,2/9/2024 11:43:00 PM,,2/9/2024 11:43:00 PM,,2/9/2024 10:21:00 PM,,,,,,,,,other,"Possibly vacant? All windows boarded up, could be commercial. ",Commercial_,,1,Commercial,,,,,,No,,Pier and beam,,No,"Poor_drainage_around_the_house_,Water_leaks_(fair)",,Fair,1,Flat,,,other,"Cannot tell, asphalt roll maybe?",Unknown ,Dark (Grey/ Red/Blue/Brown),Severe,Single structure,,,"Yes, historic property without",,,,,No,,,,,,,,"No_gutters_downspouts_and_hard_,other",Missing parts of roof,Severe,,,"Laminate_siding_or_similar_(Har,Wood_siding_(board_and_batten_/,other",Wood siding under the particle board cover,other,Tan and orange ,,"Holes_large_cracks_gaps_and_pen,Localized_loose_or_rotting_mate,Holes_cracks_breaks_(severe),Poorly_attached_exterior_siding",,Severe,Fair,Severe,other,All boarded up,Cannot tell,,Yes,,,,Wood,Single pane,,"20% north, 40% west, 5% south, unknown east ","other,Screens",Boarded up,,,"Empty_casements_that_are_expose,Isolated_damage_that_can_be_rep",,Severe,Severe,Severe,Severe,Solid exterior doors,,Wood,,Iron gates,,,,other,Boarded up ,Fair,Fair,Fair,None,,,No,,other,No system seen,Fair,None,,,,other,Concrete ,No,Fair,Grass,0,other,Not severely overgrown but not well manicured ,Fair,"Roof,Windows,Exterior_walls,Foundations,Landscape,Doors,Gutters_&_Downspouts,Trees,Hardscape,Mechanical_Systems,Fence",2,"Large_portion_of_roof_missing/s,Missing_or_cracked_shingles_–_s",other,Cannot tell,,,,other,Sarah Serpas,643221,Yes,,-98.520044022482,29.418724011359
96,ff19367f-9482-4f3b-a397-16ef86de4f3d,2/9/2024 11:43:18 PM,Skylar.Joiner_utsa,2/9/2024 11:43:18 PM,Skylar.Joiner_utsa,2/9/2024 10:06:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,"No_issues,other","The porporch with concrete foundation, slightly leaning",Good,2,Pitched,,,Asphalt_shingles,,100% asphalt,Black,Good,Single structure,,,"Yes, historic with current hist",,"Canopies,Porch",Gabble_Roof,,other,Gutters on east side; no discernable downspout towards back. Rain runs off roof (no gutter) west side of house.,,,,,,,Localized_roof_drainage_issues_,,Fair,,,Wood_siding_(board_and_batten_/,,Green,,,No_issues,,Good,Fair,Fair,Cannot tell,,Cannot tell,,No,,,,Wood,other,Cannot tell; windows are covered.,Front (S) - 20% | (E) - 10-15% | (W) - 20%,"Iron_Bars,Screens,Trims",,,,No_issues,,Good,Fair,Fair,Fair,Solid exterior doors,,Wood,,Iron gates,,,,other,The trim has some small chips/ a crack,Good,Fair,Fair,Window_AC_units,,1-7 ,No,,No_issues,,Disagree,other,"Front is iron, just a little chipped, sides are link chain & severe leaning on west side (fence goes around a tree)",,Severe,other,Concrete,Yes,Fair,Grass,2,"other,No_issues","There’s a few weeds growing in adjacent conrete/grass is slightly overgrown, but not severe",Fair,"Gutters_&_Downspouts,Mechanical_Systems,Fence,Trees,Landscape,Exterior_walls,Roof,Hardscape,Windows,Foundations,Doors",8,No_issues,"other,Single-hung","Covering over walls, so can’t tell","Missing_or_chipped_paint_(fair),Leaned_or_slanted_(severe)",,,Skylar Joiner (student),,532125,Yes,,-98.5171630659347,29.418106358897
97,51ad2320-5263-45f9-ac06-071b31098dd0,2/9/2024 11:43:33 PM,,2/13/2024 5:11:39 PM,esteban.lopezochoa_utsa,2/9/2024 10:37:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,Yes,,Pier and beam,,No,No_issues,,Good,2,Pitched,,,Asphalt_shingles,,100% asphalt,Dark (Grey/ Red/Blue/Brown),Fair,Multiple separated structures,,,"Yes, historic with current hist",,Porch,Hip_Roof,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Localized_roof_drainage_issues_,Inadequate_roof_drainage:_E.g._",,Severe,,,Wood_siding_(board_and_batten_/,,Green,,,Localized_loose_or_rotting_mate,,Fair,Fair,Fair,Operable,,Historic/Old,,No,,,,Wood,Single pane,,"50% west, 30% east, 20% south, north unknown","Screens,Iron_Bars",,,,"No_issues,other",Can’t really tell but screens seem well maintained ,Good,Good,Good,Good,Solid exterior doors,,Wood,,Screens,,,,"No_issues,Missing_or_chipped_paint_(fair)",,Fair,Fair,Fair,Window_AC_units,,1 to 14,No,,No_issues,,Good,Chain-link,,,Fair,other,Concrete,Cannot tell,Fair,"Grass,Established_landscape/shrubs",2,"Non-functioned_vehicles_(non-re,Art_work",,Fair,"Gutters_&_Downspouts,Mechanical_Systems,Doors,Landscape,Fence,Foundations,Hardscape,Exterior_walls,Windows,Roof,Trees",6,Roof_has_minor_issues_or_old_–_,Single-hung,,Missing_or_chipped_paint_(fair),2,,other,Sarah Serpas,643231,Yes,,-98.5198850177774,29.4184679861265
98,047c73a3-517a-4bec-9e84-c5f40f7d5857,2/9/2024 11:44:03 PM,,2/9/2024 11:44:03 PM,,2/9/2024 10:57:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,"Leaning_chimney_and_leaning_win,Wood_siding_is_not_leveled_(sev,Cracks_on_walls_and_or_porch_(s",,Severe,1,Pitched,,,Metal,,Appears 100% metal ,Light grey / Silver,Fair,Single structure,,,"Yes, historic with current hist",,Porch,Hip_Roof,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Ground_slope_goes_towards_the_h,Inadequate_roof_drainage:_E.g._,Localized_roof_drainage_issues_",,Severe,,,"Wood_siding_(board_and_batten_/,Laminate_siding_or_similar_(Har,other","Wood with some other siding on top, maybe vinyl",White/Whitish,,,"Holes_large_cracks_gaps_and_pen,Localized_loose_or_rotting_mate,Holes_cracks_breaks_(severe)",,Severe,Fair,Severe,Operable,,Modern/Recent,,No,,,,Aluminium,Single pane,,"20% south, 20% east, 20% west, unknown north","Trims,Screens,Iron_Bars",,,,Isolated_damage_that_can_be_rep,,Fair,Fair,Fair,Fair,Solid exterior doors,,Wood,,other,"Trim, screen, iron bars ",,,"Rooted_broken_or_missing_parts?,Missing_or_chipped_paint_(fair)",,Severe,Severe,Severe,Window_AC_units,,3 to 6,No,,other,Minor damage ,Fair,Chain-link,,,Severe,other,Concrete ,Cannot tell,Fair,"Grass,Established_landscape/shrubs",1,other,Seems much of the landscaping froze in recent weather ,Fair,"Doors,Roof,Gutters_&_Downspouts,Exterior_walls,Windows,Trees,Fence,Foundations,Landscape,Hardscape,Mechanical_Systems",5,Roof_has_minor_issues_or_old_–_,Single-hung,,Broken_or_missing_parts_(severe,,,other,Sarah Serpas,643234,Yes,,-98.519526020866,29.418438020823
99,384a6f89-1cf1-4c0e-b1ae-84d66135d00b,2/9/2024 11:44:46 PM,,2/9/2024 11:44:46 PM,,2/9/2024 11:16:00 PM,,,,,,,,,Occupied,,Single family home,,1,Residential,,Detached (standalone),,,,No,,Pier and beam,,No,"Doors_and_windows_are_hard_to_o,Water_leaks_(fair),Cracks_on_walls_and_or_porch_(s",,Fair,2.5,Pitched,,,Asphalt_shingles,,100% asphalt,Dark (Grey/ Red/Blue/Brown),Fair,Single structure,,,"Yes, historic with current hist",,"Porch,Canopies",Crossed-gabled,,No,,,,,,,,"No_gutters_downspouts_and_hard_,Localized_roof_drainage_issues_,other",Maybe used to have gutters but only in one part?,Severe,,,Wood_siding_(board_and_batten_/,,White/Whitish,,,"Localized_loose_or_rotting_mate,Poorly_attached_exterior_siding",,Fair,Fair,Fair,Operable,,other,Mix of both ,No,,,,"Wood,Vinyl,Aluminium",Single pane,,"South 40%, west 20%, east, 30%, north 20%","Trims,Screens,Shutters",,,,Isolated_damage_that_can_be_rep,,Fair,Fair,Fair,Fair,Solid exterior doors,,Wood,,other,"Trims, gates, screens ",,,"Missing_or_chipped_paint_(fair),other",Torn screens ,Fair,Fair,Fair,Window_AC_units,,4 to 15,No,,other,Old but fine ,Fair,Chain-link,,,Fair,Stone/Flagstone,,No,Severe,"Established_landscape/shrubs,None",9,other,Very damaged porch ,Severe,"Foundations,Hardscape,Gutters_&_Downspouts,Roof,Landscape,Doors,Exterior_walls,Windows,Mechanical_Systems,Fence,Trees",4,"Missing_or_cracked_shingles_–_s,Roof_has_minor_issues_or_old_–_",Single-hung,,Missing_or_chipped_paint_(fair),,,other,Sarah Serpas,643237,Yes,,-98.519202982317,29.418394015831
